GEOID20,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
011250104031017,198,47,113,21,93,0,0,0,0,0,0,0,0,0,0,110,168,20,112,23,90,0,0,0,0,0,0,0,0,0,0,114
011250124041049,130,2,129,2,168,0,0,0,0,0,0,0,0,0,0,168,83,2,81,2,115,0,0,0,0,0,0,0,0,0,0,114
011250117012019,154,0,159,0,149,0,0,0,0,0,1,0,0,0,0,147,121,1,125,0,113,0,0,0,0,0,1,0,0,0,0,112
011250107072005,272,0,270,168,172,0,0,0,0,0,0,0,0,0,0,169,195,0,190,124,115,0,0,0,0,0,0,0,0,0,0,112
011250124031048,181,0,186,13,138,0,0,0,0,0,2,0,0,1,42,133,141,0,143,14,115,0,0,0,0,0,3,0,0,1,20,111
011250125051032,141,0,143,30,122,0,0,0,0,0,0,0,0,0,0,121,117,0,118,23,111,0,0,0,0,0,0,0,0,0,0,110
011250125052011,218,2,213,113,119,0,0,0,0,0,0,0,0,1,0,113,175,1,174,84,112,0,0,0,0,0,0,0,0,1,0,109
011250112002014,136,2,216,109,139,0,5,0,5,0,0,0,0,0,5,137,117,1,198,111,110,0,5,0,5,0,0,0,0,0,3,109
011250123052059,174,8,161,45,136,3,3,0,0,0,0,0,0,4,2,133,129,6,120,30,110,3,3,0,0,0,0,0,0,3,3,108
011250124033029,243,22,214,26,178,0,0,0,0,0,0,0,0,0,0,187,135,4,124,21,108,0,0,0,0,0,0,0,0,0,0,106
011250126001011,821,0,831,804,107,3,0,0,0,9,3,0,0,5,0,115,829,0,838,807,98,3,0,0,0,10,3,0,0,5,0,105
011250107041001,172,3,169,26,128,0,0,0,0,0,0,0,0,0,0,127,130,4,127,20,105,0,0,0,0,0,0,0,0,0,0,103
011250106033000,236,0,232,125,133,0,0,0,0,0,0,0,0,0,0,130,176,0,173,93,103,0,0,0,0,0,0,0,0,0,0,103
011250118003025,171,0,177,0,180,0,0,0,0,0,0,0,0,0,0,186,93,0,96,0,104,0,0,0,0,0,0,0,0,0,0,101
011250125032023,128,0,128,21,125,0,0,0,1,2,0,0,0,0,0,127,95,0,94,16,100,0,0,0,0,0,0,0,0,0,0,101
011250126001014,334,0,325,98,128,1,0,0,0,1,0,0,0,0,0,130,286,0,277,96,97,1,0,0,0,0,0,0,0,0,0,100
011250127002013,327,8,323,103,242,0,0,0,0,0,0,0,0,0,0,248,205,12,192,86,95,0,0,0,0,0,0,0,0,0,0,98
011250104033021,279,0,281,157,121,0,0,0,0,2,0,0,0,0,0,125,219,0,217,125,92,0,0,0,0,0,0,0,0,0,0,96
011250102061008,525,0,520,420,119,0,0,0,0,2,0,0,0,0,0,125,435,0,433,360,97,0,0,0,0,0,0,0,0,0,0,95
011250117031004,148,0,149,10,140,0,0,0,0,0,0,0,0,0,0,144,99,0,100,10,96,0,0,0,0,0,0,0,0,0,0,95
011250124082014,150,17,133,3,138,0,0,0,0,0,0,0,0,0,0,133,112,13,100,3,97,0,0,0,0,0,0,0,0,0,0,95
011250104032002,222,0,221,84,147,0,0,0,0,0,0,0,0,0,0,145,168,0,169,79,95,0,0,0,0,0,0,0,0,0,0,94
011250123063021,95,4,91,0,86,0,0,0,0,0,0,0,0,0,4,87,92,0,90,0,94,0,0,0,0,0,0,0,0,0,5,93
011250124061001,178,1,175,28,141,0,0,0,0,0,0,0,0,0,0,139,133,2,125,29,93,0,0,0,0,0,0,0,0,0,0,92
011250108031003,145,0,156,25,124,0,0,0,0,0,0,0,0,0,0,125,115,0,122,28,88,0,0,0,0,0,0,0,0,0,0,91
011250119022020,125,1,124,2,127,0,0,0,0,0,0,0,0,0,0,126,90,0,91,3,91,0,0,0,0,0,0,0,0,0,0,91
011250112002033,122,2,192,102,76,0,8,0,5,6,0,1,0,0,10,83,125,2,199,104,83,0,9,0,5,6,0,1,0,0,10,91
011250123051005,149,0,147,32,115,0,0,0,0,0,0,0,0,1,0,115,125,0,123,32,92,0,0,0,0,0,0,0,0,0,0,91
011250117012021,147,2,145,2,128,0,0,0,0,0,1,0,0,0,0,134,102,1,99,0,90,0,0,0,0,0,0,0,0,0,0,89
011250121022003,786,6,766,551,197,0,16,0,0,0,0,7,0,0,23,196,654,0,648,542,87,0,17,0,0,0,0,0,0,0,16,89
011250123041019,176,8,167,46,116,0,0,0,0,0,0,0,0,0,0,118,139,14,128,41,88,0,0,0,0,0,0,0,0,0,0,88
011250123053001,160,0,160,51,116,0,0,0,0,0,0,0,0,0,0,116,135,0,135,56,89,0,0,0,0,0,0,0,0,0,0,88
011250123071018,186,2,185,36,131,0,0,0,0,0,0,0,0,0,0,130,143,1,143,37,88,0,0,0,0,0,0,0,0,0,0,87
011250104031022,92,5,87,15,85,0,0,0,0,0,0,0,0,0,0,81,79,3,74,9,88,0,0,0,0,0,0,0,0,0,0,85
011250128002004,101,0,102,1,110,0,0,0,0,0,0,0,0,0,0,110,77,0,76,1,84,0,0,0,0,0,0,0,0,0,0,84
